Player,ID,Country,Role,Player Image
Alex Hales,249866,England,PLAYER,https://media.gettyimages.com/id/978668752/photo/nottingham-england-alex-hales-of-england-celebrates-reaching-his-century-during-the-3rd-royal.jpg?s=612x612&w=0&k=20&c=9pSGv7_mwDhpgVvjnrUUfdv0oLz-oaUwpkSzX17C2aU=
Liam Plunkett,19264,England,PLAYER,
Adil Rashid,244497,England,PLAYER,
Joe Root,303669,England,PLAYER,
Jason Roy,298438,England,PLAYER,
Ben Stokes,311158,England,PLAYER,https://media.gettyimages.com/id/1711636106/photo/guwahati-india-ben-stokes-of-england-poses-for-a-portrait-ahead-of-the-icc-mens-cricket-world.jpg?s=612x612&w=0&k=20&c=KGl7yTvIIxR7U6Gyx0oAc23lWj6F8s0U7ybEiKmAfEo=
David Willey,308251,England,PLAYER,
Chris Woakes,247235,England,PLAYER,https://media.gettyimages.com/id/1711634394/photo/guwahati-india-chris-woakes-of-england-poses-for-a-portrait-ahead-of-the-icc-mens-cricket.jpg?s=612x612&w=0&k=20&c=dbZWGkka3yqll93xfhXy-QEedBh3YVT7HobK_FH2xUI=
Mark Wood,351588,England,PLAYER,
Virat Kohli,253802,India,CAPTAIN,
Rohit Sharma,34102,India,VICE CAPTAIN,
Shikhar Dhawan,28235,India,PLAYER,
K. L. Rahul,422108,India,PLAYER,
Vijay Shankar,477021,India,PLAYER,
MS Dhoni,28081,India,WICKET KEEPER,
Kedar Jadhav,290716,India,PLAYER,
Dinesh Karthik,30045,India,PLAYER,
Yuzvendra Chahal,430246,India,PLAYER,
Kuldeep Yadav,559235,India,PLAYER,
Bhuvneshwar Kumar,326016,India,PLAYER,
Jasprit Bumrah,625383,India,PLAYER,
Hardik Pandya,625371,India,PLAYER,
Ravindra Jadeja,234675,India,PLAYER,
Mohammed Shami,481896,India,PLAYER,
Kane Williamson,277906,NewZealand,CAPTAIN,https://media.gettyimages.com/id/1711506563/photo/thiruvananthapuram-india-kane-williamson-of-new-zealand-poses-for-a-portrait-ahead-of-the-icc.jpg?s=612x612&w=0&k=20&c=NqGh2USdJH1ASXiwZ9Bw4vAyPji0P6FJ92taB4yDgWA=
Tom Latham,388802,NewZealand,VICE CAPTAIN & WICKET KEEPER,https://media.gettyimages.com/id/1711507092/photo/thiruvananthapuram-india-tom-latham-of-new-zealand-poses-for-a-portrait-ahead-of-the-icc-mens.jpg?s=612x612&w=0&k=20&c=SpGSojBoM44c94X2ZbKVJcf34CZZsz0Egs3_iIv7w9U=
Tim Southee,232364,NewZealand,PLAYER,https://media.gettyimages.com/id/1711506016/photo/thiruvananthapuram-india-tim-southee-of-new-zealand-poses-for-a-portrait-ahead-of-the-icc.jpg?s=612x612&w=0&k=20&c=IqpQMdEYbDA5SOL3zBkeMUTxlzTDYWqpoZ2g76zxQOM=
Tom Blundell,440516,NewZealand,PLAYER,
Trent Boult,277912,NewZealand,PLAYER,
Colin de Grandhomme,55395,NewZealand,PLAYER,
Lockie Ferguson,493773,NewZealand,PLAYER,
Martin Guptill,226492,NewZealand,PLAYER,
Matt Henry,506612,NewZealand,PLAYER,https://media.gettyimages.com/id/1711506533/photo/thiruvananthapuram-india-matt-henry-of-new-zealand-poses-for-a-portrait-ahead-of-the-icc-mens.jpg?s=612x612&w=0&k=20&c=4bKaDpLg2aqVCSIsFrp_l_8Vy6j-TP0_9JerXDtr02Q=
Colin Munro,232359,NewZealand,PLAYER,
James Neesham,355269,NewZealand,PLAYER,https://media.gettyimages.com/id/1711506562/photo/thiruvananthapuram-india-jimmy-neesham-of-new-zealand-poses-for-a-portrait-ahead-of-the-icc.jpg?s=612x612&w=0&k=20&c=lllNFOe_Iile1m3u9wO_G51OObAglWF3Fbg56JzGE4o=
Henry Nicholls,539511,NewZealand,PLAYER,
Mitchell Santner,502714,NewZealand,PLAYER,
Ish Sodhi,559066,NewZealand,PLAYER,
Ross Taylor,38699,NewZealand,PLAYER,
Sarfaraz Ahmed,227760,Pakistan,CAPTAIN & WICKET KEEPER,
Babar Azam,348144,Pakistan,VICE CAPTAIN,https://media.gettyimages.com/id/1713408997/photo/hyderabad-india-babar-azam-of-pakistan-poses-for-a-portrait-ahead-of-the-icc-mens-cricket.jpg?s=612x612&w=0&k=20&c=HXkZUm36bM63Eo2pCnDtzakGL1pgpJHS9cy2dRgTsiY=
Shoaib Malik,42657,Pakistan,PLAYER,
Fakhar Zaman,512191,Pakistan,PLAYER,
Imam-ul-Haq,568276,Pakistan,PLAYER,
Abid Ali,39950,Pakistan,PLAYER,
Mohammad Hafeez,41434,Pakistan,PLAYER,
Shadab Khan,922943,Pakistan,PLAYER,
Imad Wasim,227758,Pakistan,PLAYER,
Hasan Ali,681305,Pakistan,PLAYER,https://media.gettyimages.com/id/1713409545/photo/hyderabad-india-hasan-ali-of-pakistan-poses-for-a-portrait-ahead-of-the-icc-mens-cricket.jpg?s=612x612&w=0&k=20&c=jvtOUi8DTaHFO2k4JstEks0er3BGB80aMz7ZVx43jMc=
Faheem Ashraf,681117,Pakistan,PLAYER,
Shaheen Afridi,1072470,Pakistan,PLAYER,https://media.gettyimages.com/id/2155759897/photo/dallas-texas-shaheen-shah-afridi-of-pakistan-poses-for-a-portrait-prior-to-the-icc-mens-t20.jpg?s=612x612&w=0&k=20&c=hmVxe8ZWUAUE1Qtsj2npiwJUR_VCle1FcN2TK2qFh3Y=
Junaid Khan,259551,Pakistan,PLAYER,
Mohammad Hasnain,1158100,Pakistan,PLAYER,
Haris Sohail,318788,Pakistan,PLAYER,
Faf du Plessis,44828,SouthAfrica,CAPTAIN,https://media.gettyimages.com/id/1151045639/photo/cardiff-wales-faf-du-plessis-of-south-africa-poses-for-a-portrait-prior-to-the-icc-cricket.jpg?s=612x612&w=0&k=20&c=XVU6Y8DQUuomOL3f_Iyr7SHFrwgIwMWQwLPrHlzCgUo=
Quinton de Kock,379143,SouthAfrica,VICE CAPTAIN & WICKET KEEPER,
Hashim Amla,43906,SouthAfrica,PLAYER,
Aiden Markram,600498,SouthAfrica,PLAYER,https://media.gettyimages.com/id/1711261143/photo/thiruvananthapuram-india-aiden-markram-of-south-africa-poses-for-a-portrait-ahead-of-the-icc.jpg?s=612x612&w=0&k=20&c=i03HU-oSsmPmCBxOjXEfqj1qIDXA_TPFaLPU4irVp_c=
Rassie van der Dussen,337790,SouthAfrica,PLAYER,
David Miller,321777,SouthAfrica,PLAYER,
JP Duminy,44932,SouthAfrica,PLAYER,
Andile Phehlukwayo,540316,SouthAfrica,PLAYER,
Dwaine Pretorius,327830,SouthAfrica,PLAYER,
Dale Steyn,47492,SouthAfrica,PLAYER,https://media.gettyimages.com/id/466651302/photo/sydney-australia-dale-steyn-of-south-africa-celebrates-after-taking-the-wicket-of-tillakaratne.jpg?s=612x612&w=0&k=20&c=TzwJDDQeNFlnnC-utrisXmZzq_0KspmskkZj31l1xZo=
Kagiso Rabada,550215,SouthAfrica,PLAYER,
Lungi Ngidi,542023,SouthAfrica,PLAYER,
Anrich Nortje,481979,SouthAfrica,PLAYER,
Chris Morris,439952,SouthAfrica,PLAYER,
Imran Tahir,40618,SouthAfrica,PLAYER,https://media.gettyimages.com/id/1151046080/photo/cardiff-wales-imran-tahir-of-south-africa-poses-for-a-portrait-prior-to-the-icc-cricket-world.jpg?s=612x612&w=0&k=20&c=6wpilWzB98iNlq-elK0d-iJZl3dY8UCE6hOLk-Sm8MI=
Tabraiz Shamsi,379145,SouthAfrica,PLAYER,
Dimuth Karunaratne,227772,SriLanka,CAPTAIN,https://media.gettyimages.com/id/1498885330/photo/bulawayo-zimbabwe-dimuth-karunaratne-of-sri-lanka-poses-for-a-photograph-prior-to-the-icc.jpg?s=612x612&w=0&k=20&c=IFaZTyCMlNKZOCgE6t9CQdUOkrTYEFwXJXx7xwS4nVg=
Dhananjaya de Silva,465793,SriLanka,VICE CAPTAIN,
Angelo Mathews,49764,SriLanka,PLAYER,
Avishka Fernando,784369,SriLanka,PLAYER,
Lahiru Thirimanne,301236,SriLanka,PLAYER,
Kusal Mendis,629074,SriLanka,PLAYER,https://media.gettyimages.com/id/1711618884/photo/guwahati-india-kusal-mendis-of-sri-lanka-poses-for-a-portrait-ahead-of-the-icc-mens-cricket.jpg?s=612x612&w=0&k=20&c=Buw_ld9XgZcbmgAolXe5t1rtu8kFjPeXNnLzEFbAjfQ=
