Player,ID,Country,Role,Player Image
Imran Tahir,40618,SouthAfrica,PLAYER,
Tabraiz Shamsi,379145,SouthAfrica,PLAYER,
Dimuth Karunaratne,227772,SriLanka,CAPTAIN,
Dhananjaya de Silva,465793,SriLanka,VICE CAPTAIN,
Angelo Mathews,49764,SriLanka,PLAYER,
Avishka Fernando,784369,SriLanka,PLAYER,
Lahiru Thirimanne,301236,SriLanka,PLAYER,
Kusal Mendis,629074,SriLanka,PLAYER,
Kusal Perera,300631,SriLanka,WICKET KEEPER,
Thisara Perera,233514,SriLanka,PLAYER,
Isuru Udana,328026,SriLanka,PLAYER,
Jeffrey Vandersay,370040,SriLanka,PLAYER,
Jeevan Mendis,49700,SriLanka,PLAYER,
Milinda Siriwardana,222354,SriLanka,PLAYER,
Lasith Malinga,49758,SriLanka,PLAYER,
Suranga Lakmal,46919,SriLanka,PLAYER,
Nuwan Pradeep,324358,SriLanka,PLAYER,
Jason Holder,391485,WestIndies,CAPTAIN,
Chris Gayle,51880,WestIndies,VICE CAPTAIN,
Carlos Brathwaite,457249,WestIndies,PLAYER,
Darren Bravo,277472,WestIndies,PLAYER,
Sheldon Cottrell,495551,WestIndies,PLAYER,
Fabian Allen,670013,WestIndies,PLAYER,
Shannon Gabriel,446101,WestIndies,PLAYER,
Shimron Hetmyer,670025,WestIndies,PLAYER,
Shai Hope,581379,WestIndies,PLAYER,
Evin Lewis,431901,WestIndies,PLAYER,
Ashley Nurse,315594,WestIndies,PLAYER,
Nicholas Pooran,604302,WestIndies,WICKET KEEPER,
Kemar Roach,230553,WestIndies,PLAYER,
Andre Russell,276298,WestIndies,PLAYER,
Oshane Thomas,914567,WestIndies,PLAYER,
